body_of_water	category_T10	category_T15	city_not_us	city_us	date	filename	id	incorrect_orientation_T21	keyword_subj_T11	loc_box_checked	loc_not_us	other_info_T22	prodno	publisher	state_l	state_v	subj_2_T12	subj_3_T13	subj_T16	title
	Sports			Mooseheart		2364-30_o3.jpg	35401127		Athletic clubs											Mooseheart, the loyal order of Moose School that trains for life, Mooseheart, Ill.
		Advertising				0CH184_o3.jpg	35400662										 		 	
		Religion		Flora		C32422_o3.jpg	35404119												Churches	Christian Church, Flora, Ill.
		Aerial views & skylines		Chicago	1900	dpc5524_o3.jpg	35408425							Detroit Photographic Co.			Downtown		Skyscrapers	The Auditorium and Annex, Chicago
		Streets & highways		Clinton		A115769_o3.jpg	35403292										Downtowns		Squares	Southwest corner of Public Square, Clinton, Ill.
		Nature		West Point	1905	dpc9386_o3.jpg	35411503							Detroit Publishing Co					Trails	Flirtation Walk, West Point, N.Y.
		Libraries, galleries & museums		Bloomington		4018_o3.jpg	35401612												Libraries	Withers Public Library, Bloomington, Ill.
		Bridges		Mt Vernon	1903	dpc7436_o3.jpg	35410030							Detroit Photographic Co.						Oak Street Bridge, Mt. Vernon, N.Y.
		Other		Jacksonville 		A116780_o3.jpg	35403377										Twentieth Century  		Hospitals 	Passavant Hospital, Jackson, Ill. 
		Residences		Newport 		dpc8675_o3.jpg	35410971							Detroit Publishing Co. 			Atlantic Ocean 		Postcards 	E. D. Morgan Residence, Newport, R. I. 
		Hotels		Denver		dpcg21_o3.jpg	35411907												Architecture	Brown Palace Hotel, Denver
		Cartoons & humor				8AH2048_o3.jpg	35402730							Curt Teich & Co., Inc.					Rest Room	
		Politics & government		Murphreysboro		c46949_o3.jpg	35404164												post offices	U.S. Post Office, Murphrysboro, ILL>
		Amusements		Chicago	1934	cop2246_o3.jpg	35405421										World's Fair		Century of Progress	The Colonial Village
		Nature		San Francisco	1904	dpc8129_o3.jpg	35410533							Detroit Photographic Co.			Bays		Forts	Fort Point, San Francisco, Cal.
		Amusements		Chicago	1934	cop2422j_o3.jpg	35405467										Fairs		Exhibitions	Irish Village Chicago World's Fair - 1934
		Other		Benton Harbor		VO5003_o3.jpg	35422736										Ships	Harbor	Steamship	Steamship City of Benton Harbor
		Streets & highways				A50381_o3.jpg	35403759										Buildings	City 	Automobiles	
		Nature			1902	dpc6813_o3.jpg	35409428							Detroit Photographic Co.			Adirondack		Lakes	An Adirondack Hand Cart Carry
		Beaches & bodies of water		White Bear Lake		VO1910_o3.jpg	35422110										Nature	Private Club	Yacht	White Bear Yacht Club. Dellwood, White Bear Lake, Minn
		Residences		Saratoga Springs		dpc11169_o3.jpg	35407005							Copr. Detroit Publishing Co. 			Trees	Garden	Home	Chauncey Olcott Residence. Saratoga Springs, N.Y. 
		Libraries, galleries & museums		St. Louis	1904	VO128_o3.jpg	35412493							V.O. Hammond Publishing Co. 			Architecture	Louisiana Purchase	Agriculture	Palace of Agriculture
		Politics & government		Nashville		VO6132_o3.jpg	35423498										Statues 		Presidents	Andrew Jackson Statue Capitol, Nashville
		Politics & government		Blue Island		1CH216_o3.jpg	35401044										Flag	Fire Department	City Hall 	B.I.137 - City Hall. Blue Island, Illinois
		Amusements		Chicago	1934	cop2422j_o3.jpg	35405467										People	Crowds	Irish Village	Irish Village Chicago World's Fair 1934
		Parks & gardens		Chicago		VO1617_o3.jpg	35421786												Humboldt Park	Gateway to Humboldt Park
		Parks & gardens		Chicago		VO1770_o3.jpg	35421972										Pavilion	Nature 	Bridge	Pavilion and Bridge. Sherman Park, Chicago
		Beaches & bodies of water		Lost Channel, Thousand Islands	1900	dpc6064_o3.jpg	35408801							Detroit Photographic Co. 			Channel	Trees	Boat	"Lost Channel, Thousand Islands
"
		Parks & gardens			1902	dpc6813_o3.jpg	35409428							Detroit Photographic Co.					Wheelbarrows	An Adirondack hand cart carry
		Hotels		West Baden		dpc7717_o3.jpg	35410253							Detroit Photographic Co.					Gazebos	West Baden, Ind.
		Hotels		Yellowstone 		dpc12532_o3.jpg	35407837							Copr. Detroit Publishing Co. 			Inn	Old Faithful	Yellowstone Park	Verandah and porte ccchere, Old Faithful Inn, Yellowstone Park 
